skill,department,sector,job_frequency,trend_score,growth_rate,average_salary_score,emerging_role,required_experience,demand_level
Python,Computer Science,IT,97,96,93,92,0,1,High
Machine Learning,Computer Science,IT,92,97,95,94,1,2,High
Deep Learning,Computer Science,IT,85,95,92,93,1,3,High
TensorFlow,Computer Science,IT,78,92,89,91,1,2,High
Data Analysis,Computer Science,IT,91,89,86,87,0,1,High
AWS,Computer Science,IT,88,91,87,89,0,2,High
Docker,Computer Science,IT,82,90,86,87,0,2,High
Kubernetes,Computer Science,IT,74,92,88,89,1,3,High
Cybersecurity,Computer Science,IT,80,94,91,90,1,3,High
DevOps,Computer Science,IT,83,91,88,88,1,2,High
React.js,Computer Science,IT,89,87,83,85,0,1,High
TypeScript,Computer Science,IT,79,88,84,86,0,2,High
SQL,Computer Science,IT,86,81,77,80,0,1,Medium
JavaScript,Computer Science,IT,92,82,78,80,0,1,Medium
Node.js,Computer Science,IT,82,83,79,82,0,2,Medium
MongoDB,Computer Science,IT,73,80,76,78,0,2,Medium
Flask,Computer Science,IT,71,79,75,77,0,1,Medium
Django,Computer Science,IT,73,80,76,78,0,2,Medium
REST API,Computer Science,IT,87,79,75,78,0,1,Medium
Blockchain,Computer Science,IT,54,82,78,80,1,3,Medium
Git,Computer Science,IT,95,71,67,69,0,1,Low
Financial Modeling,Finance,BFSI,86,89,85,91,0,3,High
Risk Analysis,Finance,BFSI,82,88,84,89,0,3,High
Investment Banking,Finance,BFSI,77,87,83,90,1,4,High
Python for Finance,Finance,BFSI,72,91,87,89,1,2,High
Data Analytics,Finance,BFSI,83,87,83,87,0,2,High
Portfolio Management,Finance,BFSI,79,87,83,89,0,4,High
CFA Knowledge,Finance,BFSI,69,85,81,87,0,3,Medium
Bloomberg Terminal,Finance,BFSI,64,81,77,83,0,2,Medium
Valuation,Finance,BFSI,72,84,80,86,0,3,Medium
Equity Research,Finance,BFSI,70,81,77,83,0,3,Medium
Excel Advanced,Finance,BFSI,87,73,69,71,0,1,Medium
Accounting,Finance,BFSI,80,68,64,67,0,2,Low
Taxation,Finance,BFSI,76,65,61,64,0,2,Low
VLSI Design,Electronics,Engineering,67,90,86,87,1,4,High
Embedded Systems,Electronics,Engineering,71,87,83,84,1,3,High
FPGA Programming,Electronics,Engineering,57,89,85,86,1,4,High
IoT Systems,Electronics,Engineering,67,89,85,86,1,3,High
Power Electronics,Electronics,Engineering,72,85,81,82,0,3,High
Circuit Design,Electronics,Engineering,79,83,79,81,0,3,Medium
Verilog,Electronics,Engineering,61,86,82,83,1,3,Medium
PCB Design,Electronics,Engineering,68,80,76,77,0,3,Medium
Signal Processing,Electronics,Engineering,65,82,78,80,0,3,Medium
Microcontrollers,Electronics,Engineering,69,82,78,79,0,2,Medium
MATLAB,Electronics,Engineering,71,71,67,69,0,2,Medium
PLC Programming,Electronics,Engineering,61,70,66,67,0,3,Low
Robotics,Mechanical,Engineering,62,90,86,87,1,3,High
Mechatronics,Mechanical,Engineering,65,89,85,86,1,3,High
Finite Element Analysis,Mechanical,Engineering,71,84,80,82,0,3,High
CNC Programming,Mechanical,Engineering,73,81,77,78,0,2,High
SolidWorks,Mechanical,Engineering,74,82,78,79,0,2,Medium
ANSYS,Mechanical,Engineering,68,78,74,75,0,3,Medium
CAD Design,Mechanical,Engineering,75,75,71,72,0,2,Medium
3D Printing,Mechanical,Engineering,57,83,79,80,1,2,Medium
Six Sigma,Mechanical,Engineering,66,78,74,75,0,3,Medium
AutoCAD,Mechanical,Engineering,72,65,61,63,0,2,Low
Thermodynamics,Mechanical,Engineering,66,59,55,57,0,2,Low
Fluid Mechanics,Mechanical,Engineering,63,57,53,55,0,2,Low
Product Management,MBA,Management,81,93,89,91,1,3,High
Digital Marketing,MBA,Management,85,88,84,85,0,1,High
Business Analytics,MBA,Management,83,90,86,88,1,2,High
Agile/Scrum,MBA,Management,74,87,83,84,0,2,High
Financial Analysis,MBA,Management,76,88,84,87,0,3,High
HR Analytics,MBA,Management,71,83,79,81,1,2,Medium
Supply Chain Management,MBA,Management,75,84,80,82,0,2,Medium
Entrepreneurship,MBA,Management,66,86,82,84,1,2,Medium
Strategic Planning,MBA,Management,74,80,76,78,0,3,Medium
Market Research,MBA,Management,71,78,74,76,0,2,Medium
Operations Management,MBA,Management,72,77,73,75,0,2,Medium
Leadership,MBA,Management,79,74,70,72,0,3,Low
Bioinformatics,Biotechnology,Healthcare,66,92,88,89,1,3,High
Genomics,Biotechnology,Healthcare,61,93,89,91,1,4,High
CRISPR,Biotechnology,Healthcare,56,94,90,92,1,4,High
Drug Discovery,Biotechnology,Healthcare,66,90,86,88,1,4,High
Clinical Research,Biotechnology,Healthcare,73,87,83,85,1,3,High
Immunology,Biotechnology,Healthcare,63,88,84,87,0,3,High
Biostatistics,Biotechnology,Healthcare,66,89,85,88,1,3,High
Data Science in Healthcare,Biotechnology,Healthcare,63,89,85,88,1,2,High
Molecular Biology,Biotechnology,Healthcare,67,83,79,81,0,3,Medium
PCR Techniques,Biotechnology,Healthcare,67,79,75,77,0,2,Medium
Flow Cytometry,Biotechnology,Healthcare,61,80,76,78,0,3,Medium
Microbiology,Biotechnology,Healthcare,69,71,67,69,0,2,Low
